index,language,source_code,source_line,sink_code,sink_line,source_path,sink_path,taint_path,hit
cwe-22,python,"def get_scope(gididx, limit=None):",39,"with open(index, 'r') as f:",47,.\file\cwe-22\cmusatyalab\opendiamond/opendiamond/dataretriever/diamond_store_before.py,.\file\cwe-22\cmusatyalab\opendiamond/opendiamond/dataretriever/diamond_store_before.py,39->41->125->126->41->72->47,0
cwe-22,python,def get_object_id(object_path):,78,if os.path.isfile(path + ATTR_SUFFIX):,103,.\file\cwe-22\cmusatyalab\opendiamond/opendiamond/dataretriever/diamond_store_before.py,.\file\cwe-22\cmusatyalab\opendiamond/opendiamond/dataretriever/diamond_store_before.py,78->80->100->101->121->122->101->101->103,0
cwe-22,python,def get_object_src_http(obj_path):,130,"response = send_file(path,",136,.\file\cwe-22\cmusatyalab\opendiamond/opendiamond/dataretriever/diamond_store_before.py,.\file\cwe-22\cmusatyalab\opendiamond/opendiamond/dataretriever/diamond_store_before.py,130->131->121->122->131->131->136,0
cwe-22,python,"def render(self, request):",36,if not os.path.exists(filename):,45,.\file\cwe-22\E2OpenPlugins\e2openplugin-OpenWebif/plugin/controllers/file.py,.\file\cwe-22\E2OpenPlugins\e2openplugin-OpenWebif/plugin/controllers/file.py,36->42->102->118->42->42->43->43->122->135->135->43->43->45,0
cwe-22,python,def storage_page(path):,924,if not os.path.isdir(abs_path):,948,.\file\cwe-22\ganga-devs\ganga/ganga/GangaGUI/gui/routes.py,.\file\cwe-22\ganga-devs\ganga/ganga/GangaGUI/gui/routes.py,924->933->948,0
cwe-22,python,def storage_page(path):,924,storagefile.save(save_path),954,.\file\cwe-22\ganga-devs\ganga/ganga/GangaGUI/gui/routes.py,.\file\cwe-22\ganga-devs\ganga/ganga/GangaGUI/gui/routes.py,924->933->953->954,0
cwe-22,python,def storage_page(path):,924,if not os.path.exists(abs_path):,968,.\file\cwe-22\ganga-devs\ganga/ganga/GangaGUI/gui/routes.py,.\file\cwe-22\ganga-devs\ganga/ganga/GangaGUI/gui/routes.py,924->933->968,0
cwe-22,python,def storage_page(path):,924,if os.path.isfile(abs_path):,973,.\file\cwe-22\ganga-devs\ganga/ganga/GangaGUI/gui/routes.py,.\file\cwe-22\ganga-devs\ganga/ganga/GangaGUI/gui/routes.py,924->933->973,0
cwe-22,python,def storage_page(path):,924,return send_file(abs_path),974,.\file\cwe-22\ganga-devs\ganga/ganga/GangaGUI/gui/routes.py,.\file\cwe-22\ganga-devs\ganga/ganga/GangaGUI/gui/routes.py,924->933->974,0
cwe-22,python,def storage_page(path):,924,files = os.listdir(abs_path),979,.\file\cwe-22\ganga-devs\ganga/ganga/GangaGUI/gui/routes.py,.\file\cwe-22\ganga-devs\ganga/ganga/GangaGUI/gui/routes.py,924->933->979,0
cwe-22,python,def storage_page(path):,924,"""directory"": os.path.isdir(os.path.join(abs_path, file))",985,.\file\cwe-22\ganga-devs\ganga/ganga/GangaGUI/gui/routes.py,.\file\cwe-22\ganga-devs\ganga/ganga/GangaGUI/gui/routes.py,924->933->985,0
cwe-22,python,"def job_browse(job_id: int, path):",638,if not os.path.exists(abs_path):,664,.\file\cwe-22\ganga-devs\ganga/ganga/GangaGUI/gui/routes_before.py,.\file\cwe-22\ganga-devs\ganga/ganga/GangaGUI/gui/routes_before.py,638->658->664,0
cwe-22,python,"def job_browse(job_id: int, path):",638,if os.path.isfile(abs_path):,669,.\file\cwe-22\ganga-devs\ganga/ganga/GangaGUI/gui/routes_before.py,.\file\cwe-22\ganga-devs\ganga/ganga/GangaGUI/gui/routes_before.py,638->658->669,0
cwe-22,python,"def job_browse(job_id: int, path):",638,return send_file(abs_path),670,.\file\cwe-22\ganga-devs\ganga/ganga/GangaGUI/gui/routes_before.py,.\file\cwe-22\ganga-devs\ganga/ganga/GangaGUI/gui/routes_before.py,638->658->670,1
cwe-22,python,"def job_browse(job_id: int, path):",638,files = os.listdir(abs_path),675,.\file\cwe-22\ganga-devs\ganga/ganga/GangaGUI/gui/routes_before.py,.\file\cwe-22\ganga-devs\ganga/ganga/GangaGUI/gui/routes_before.py,638->658->675,0
