index,language,cve_id,commit,source_path,sink_path,barrier_path,source_line,sink_line,barrier_line,source_code,sink_code,barrier_code,is_vulnerability
cwe-22,python,CVE-2011-4596,76363226bd8533256f7795bba358d7f4b8a6c9e6,code/cwe-22/openstack/nova/nova/image/s3.py,code/cwe-22/openstack/nova/nova/image/s3.py,code/cwe-22/openstack/nova/nova/image/s3.py,329,"[331,332]",319,,,,1
cwe-22,python,CVE-2011-4596,76363226bd8533256f7795bba358d7f4b8a6c9e6,code/cwe-22/openstack/nova/nova/image/s3_before.py,code/cwe-22/openstack/nova/nova/image/s3_before.py,code/cwe-22/openstack/nova/nova/image/s3_before.py,319,"[320,321]",,,,,0
cwe-22,python,CVE-2012-3360,b0feaffdb2b1c51182b8dce41b367f3449af5dd9,code/cwe-22/openstack/nova/nova/virt/disk/api.py,code/cwe-22/openstack/nova/nova/virt/disk/api.py,code/cwe-22/openstack/nova/nova/virt/disk/api.py,323,336,309,,,,1
cwe-22,python,CVE-2012-3360,b0feaffdb2b1c51182b8dce41b367f3449af5dd9,code/cwe-22/openstack/nova/nova/virt/disk/api_before.py,code/cwe-22/openstack/nova/nova/virt/disk/api_before.py,code/cwe-22/openstack/nova/nova/virt/disk/api_before.py,325,343,,,,,0
cwe-22,python,CVE-2018-20332,a846b7664eda3a4c51a452e00638cf7337dc2013,code/cwe-22/E2OpenPlugins/e2openplugin-OpenWebif/plugin/controllers/file.py,code/cwe-22/E2OpenPlugins/e2openplugin-OpenWebif/plugin/controllers/file.py,code/cwe-22/E2OpenPlugins/e2openplugin-OpenWebif/plugin/controllers/utilities.py,37,64,123,,,,1
cwe-22,python,CVE-2018-20332,a846b7664eda3a4c51a452e00638cf7337dc2013,code/cwe-22/E2OpenPlugins/e2openplugin-OpenWebif/plugin/controllers/file_before.py,code/cwe-22/E2OpenPlugins/e2openplugin-OpenWebif/plugin/controllers/file_before.py,code/cwe-22/E2OpenPlugins/e2openplugin-OpenWebif/plugin/controllers/file_before.py,36,63,,,,,0
cwe-22,python,CVE-2020-8545,e808840f957c810b8e3944cba808716dc722581b,code/cwe-22/CIRCL/AIL-framework/bin/Global.py,code/cwe-22/CIRCL/AIL-framework/bin/Global.py,code/cwe-22/CIRCL/AIL-framework/bin/Global.py,49,94,104,,,,1
cwe-22,python,CVE-2020-8545,e808840f957c810b8e3944cba808716dc722581b,code/cwe-22/CIRCL/AIL-framework/bin/Global_before.py,code/cwe-22/CIRCL/AIL-framework/bin/Global_before.py,code/cwe-22/CIRCL/AIL-framework/bin/Global_before.py,48,92,,,,,0
cwe-22,python,CVE-2019-20916,a4c735b14a62f9cb864533808ac63936704f2ace,code/cwe-22/gzpan123/pip/src/pip/_internal/download.py,code/cwe-22/gzpan123/pip/src/pip/_internal/download.py,code/cwe-22/gzpan123/pip/src/pip/_internal/download.py,1077,1135,1054,,,,1
cwe-22,python,CVE-2019-20916,a4c735b14a62f9cb864533808ac63936704f2ace,code/cwe-22/gzpan123/pip/src/pip/_internal/download_before.py,code/cwe-22/gzpan123/pip/src/pip/_internal/download_before.py,code/cwe-22/gzpan123/pip/src/pip/_internal/download_before.py,1053,1114,,,,,0
cwe-22,python,CVE-2020-15239,82056540191e89f0cd697c81f57714c00962ed75,code/cwe-22/horazont/xmpp-http-upload/xhu.py,code/cwe-22/horazont/xmpp-http-upload/xhu.py,code/cwe-22/horazont/xmpp-http-upload/xhu.py,177,53,45,,,,1
cwe-22,python,CVE-2020-15239,82056540191e89f0cd697c81f57714c00962ed75,code/cwe-22/horazont/xmpp-http-upload/xhu_before.py,code/cwe-22/horazont/xmpp-http-upload/xhu_before.py,code/cwe-22/horazont/xmpp-http-upload/xhu_before.py,189,57,,,,,0
cwe-22,python,CVE-2021-34363,e343c577cd7da4d304b837d4a07ab4df1e023092,code/cwe-22/nvbn/thefuck/thefuck/rules/dirty_untar.py,code/cwe-22/nvbn/thefuck/thefuck/rules/dirty_untar.py,code/cwe-22/nvbn/thefuck/thefuck/rules/dirty_untar.py,41,49,44,,,,1
cwe-22,python,CVE-2021-34363,e343c577cd7da4d304b837d4a07ab4df1e023092,code/cwe-22/nvbn/thefuck/thefuck/rules/dirty_untar_before.py,code/cwe-22/nvbn/thefuck/thefuck/rules/dirty_untar_before.py,code/cwe-22/nvbn/thefuck/thefuck/rules/dirty_untar_before.py,41,45,,,,,0
cwe-22,python,CVE-2021-41185,23ac5dd422029c2b6ae1701a3599b6d41b66a6a9,code/cwe-22/kizniche/Mycodo/mycodo/mycodo_flask/routes_general.py,code/cwe-22/kizniche/Mycodo/mycodo/mycodo_flask/routes_general.py,code/cwe-22/kizniche/Mycodo/mycodo/mycodo_flask/routes_general.py,"[115,128]","[121,154]","[120,153]",,,,1
cwe-22,python,CVE-2021-41185,23ac5dd422029c2b6ae1701a3599b6d41b66a6a9,code/cwe-22/kizniche/Mycodo/mycodo/mycodo_flask/routes_general_before.py,code/cwe-22/kizniche/Mycodo/mycodo/mycodo_flask/routes_general_before.py,code/cwe-22/kizniche/Mycodo/mycodo/mycodo_flask/routes_general_before.py,"[115,127]","[120,152]",,,,,0
cwe-22,python,CVE-2021-41127,1b6b502f52d73b4f8cd1959ce724b8ad0eb33989,code/cwe-22/RasaHQ/rasa/rasa/model.py,code/cwe-22/RasaHQ/rasa/rasa/model.py,code/cwe-22/RasaHQ/rasa/rasa/model.py,210,,,,,,1
cwe-22,python,CVE-2021-41127,1b6b502f52d73b4f8cd1959ce724b8ad0eb33989,code/cwe-22/RasaHQ/rasa/rasa/model_before.py,code/cwe-22/RasaHQ/rasa/rasa/model_before.py,code/cwe-22/RasaHQ/rasa/rasa/model_before.py,210,231,,,,,0
cwe-22,python,CVE-2021-41131,4ad7ae48fda594b640139c3b7eae21ed5155a102,code/cwe-22/theupdateframework/python-tuf/tuf/ngclient/updater.py,code/cwe-22/theupdateframework/python-tuf/tuf/ngclient/updater.py,code/cwe-22/theupdateframework/python-tuf/tuf/ngclient/updater.py,"[286,291]","[288,301]","[287,295]",,,,1
